fname,label
HIP86032_57502.36503_174611059_OFF,3
HIP85365_57502.30947_112846001,0
HIP85365_57502.32461_112009250_OFF,0
HIP86032_57502.35747_112344779,0
HIP85582_57502.34127_105972352_OFF,1
HIP85582_57502.34912_115616201_OFF,2
HIP86032_57502.36503_96210924,1
HIP86032_57502.35747_123063818,0
HIP86032_57502.35747_123076852_OFF,0
HIP85365_57502.32461_112342849_OFF,0
HIP85582_57502.34912_112317592,0
HIP85365_57502.30947_106214063_OFF,1
HIP86032_57502.35747_106199804_OFF,1
HIP85582_57502.34912_112271344,0
HIP86032_57502.35747_106038286,1
HIP86032_57502.36503_96213040_OFF,1
HIP85582_57502.34912_112950847,2
HIP85582_57502.34127_105942101_OFF,1
HIP85582_57502.34127_112750912_OFF,0
HIP86032_57502.35747_123109581,0
HIP86032_57502.36503_114334976_OFF,2
HIP85365_57502.31704_111991702,0
HIP86032_57502.36503_174786337_OFF,3
HIP86032_57502.36503_123086642_OFF,0
HIP86032_57502.36503_114350896_OFF,2
HIP86032_57502.36503_174826541,3
HIP85582_57502.34912_111592485_OFF,2
HIP85582_57502.34912_112966826_OFF,2
HIP85582_57502.34912_112952401,2
HIP86032_57502.35747_112989469_OFF,2
HIP86032_57502.36503_114319827,2
HIP85365_57502.32461_112299185_OFF,0
HIP86032_57502.36503_122967441_OFF,0
HIP86032_57502.35747_112338749_OFF,0
HIP85365_57502.31704_112023898,0
HIP86032_57502.36503_175215185_OFF,3
HIP86032_57502.36503_96174246_OFF,1
HIP85365_57502.30947_106405602_OFF,1
HIP86032_57502.35747_106232243,1
HIP86032_57502.36503_96209513,1
HIP86032_57502.36503_123096333_OFF,0
HIP86032_57502.36503_114338314_OFF,2
HIP85582_57502.34127_112834202,0
HIP86032_57502.36503_105911085,1
HIP86032_57502.35747_112334334,0
HIP86032_57502.36503_174611412,3
HIP86032_57502.36503_122967118_OFF,0
HIP86032_57502.37260_106047458,1
HIP86032_57502.36503_84207104_OFF,5
HIP85582_57502.34912_113620787_OFF,2
HIP85582_57502.34912_113604963_OFF,2
HIP85365_57502.31704_68778789_OFF,0
HIP85582_57502.34127_105888328,1
HIP85365_57502.31704_106304150,1
HIP86032_57502.35747_97377030,1
HIP86032_57502.35747_173919623_OFF,4
HIP86032_57502.36503_113641443,2
HIP85365_57502.30947_112774825_OFF,0
HIP85582_57502.34912_174968401,1
HIP86032_57502.36503_96245486,1
HIP85582_57502.34912_112266606,0
HIP85582_57502.34912_112298748,0
HIP86032_57502.35747_112605164,2
HIP85582_57502.34912_114699765_OFF,0
HIP85365_57502.30947_112063743,0
HIP86032_57502.35747_176879545_OFF,4
HIP86032_57502.36503_122918668,0
HIP86032_57502.36503_174834300,3
HIP85365_57502.30947_107435958,1
HIP85582_57502.34912_122295134_OFF,2
HIP86032_57502.36503_174704870,3
HIP85365_57502.32461_116032105_OFF,0
HIP85582_57502.34912_112291695,0
HIP86032_57502.36503_123003088,0
HIP85365_57502.31704_97366295_OFF,1
HIP86032_57502.35747_106018183_OFF,1
HIP86032_57502.35747_106083779_OFF,1
HIP85365_57502.32461_116139559_OFF,0
HIP85365_57502.31704_112252416_OFF,0
HIP86032_57502.36503_114337801_OFF,2
HIP86032_57502.36503_96183063_OFF,1
HIP85365_57502.30947_106326923,1
HIP86032_57502.35747_112942411_OFF,2
HIP85582_57502.34912_114372179_OFF,2
HIP85582_57502.34912_121450069,0
HIP85365_57502.31704_112244702_OFF,0
HIP86032_57502.35747_112561240_OFF,2
HIP86032_57502.35747_97354106_OFF,1
HIP85582_57502.34912_115597465_OFF,2
HIP86032_57502.36503_122961734,0
HIP85582_57502.34912_174975807,3
HIP86032_57502.35747_106276691,1
HIP85582_57502.34912_112974727,4
HIP85582_57502.34912_174914796_OFF,1
HIP85365_57502.31704_106320726_OFF,1
HIP86032_57502.36503_174709102,3
HIP85582_57502.34912_115598825_OFF,2
HIP85365_57502.32461_112047799,0
HIP85582_57502.34912_114331386_OFF,2
HIP85365_57502.30947_112824358,0
HIP85365_57502.30947_112551713,2
HIP85365_57502.30947_105672398,1
HIP85365_57502.30947_106379824_OFF,1
HIP85365_57502.30947_106303646_OFF,1
HIP86032_57502.35747_106191692_OFF,1
HIP86032_57502.35747_106041107,1
HIP85365_57502.31704_111626095,4
HIP85365_57502.30947_112542766_OFF,2
HIP85582_57502.34912_113644015,2
HIP85582_57502.34127_112784885,0
HIP86032_57502.35747_112530171,2
HIP86032_57502.35747_106045324_OFF,1
HIP85365_57502.31704_112044304,0
HIP85365_57502.30947_106177071_OFF,1
HIP86032_57502.35747_112819984,0
HIP86032_57502.35747_123965993_OFF,4
HIP85365_57502.30947_106261326,1
HIP85582_57502.34912_96245006,1
HIP86032_57502.35747_112929276_OFF,2
HIP86032_57502.37260_105975517_OFF,1
HIP85582_57502.34912_114349616,0
HIP86032_57502.37260_101771776_OFF,5
HIP86032_57502.36503_174594484_OFF,3
HIP85582_57502.34912_174937367_OFF,1
HIP86032_57502.35747_112559186_OFF,2
HIP85365_57502.31704_106297455_OFF,1
HIP86032_57502.36503_18233406_OFF,4
HIP86032_57502.36503_114327645,2
HIP86032_57502.36503_105966822_OFF,1
HIP85365_57502.31704_112038920_OFF,0
HIP86032_57502.36503_96227509_OFF,1
HIP86032_57502.35747_106081659_OFF,1
HIP86032_57502.35747_112541726,2
HIP85365_57502.30947_105967551_OFF,1
HIP85365_57502.30947_112777625,0
HIP86032_57502.35747_112850942,0
HIP85365_57502.32461_112285941_OFF,0
HIP85365_57502.30947_106154500,1
HIP85365_57502.30947_106296968,1
HIP85582_57502.34912_174917264_OFF,1
HIP85582_57502.34912_112982973_OFF,2
HIP85582_57502.34912_106452486,1
HIP85582_57502.34912_115203584,5
HIP85582_57502.34127_112821173,0
HIP85365_57502.30947_106123454,1
HIP85365_57502.32461_112247499_OFF,0
HIP86032_57502.36503_96190125_OFF,1
HIP85365_57502.30947_106202787,1
HIP86032_57502.36503_88183065_OFF,6
HIP85365_57502.30947_112839971,0
HIP86032_57502.36503_114311610_OFF,2
HIP86032_57502.36503_113661968_OFF,0
HIP85582_57502.34912_174934898_OFF,1
HIP86032_57502.36503_96272641_OFF,1
HIP85582_57502.34912_113974765,4
HIP85365_57502.32461_112255629_OFF,0
HIP86032_57502.36503_174687236,3
HIP85582_57502.34912_121430571_OFF,2
HIP85365_57502.31704_68777310_OFF,4
HIP85582_57502.34127_112813420_OFF,0
HIP86032_57502.36503_96151322_OFF,1
HIP85582_57502.34127_112863491,0
HIP85365_57502.30947_106179512_OFF,1
HIP86032_57502.36503_96242668_OFF,1
HIP86032_57502.36503_113643240,2
HIP85582_57502.34912_112960091_OFF,4
HIP85582_57502.34912_122280934_OFF,2
HIP85365_57502.30947_106334344_OFF,1
HIP86032_57502.36503_114330868_OFF,2
HIP86032_57502.35747_112589557_OFF,2
HIP86032_57502.35747_106064731_OFF,1
HIP86032_57502.36503_174744724,3
HIP85365_57502.31704_89601293,6
HIP86032_57502.37260_106049222,1
HIP86032_57502.36503_174796564,3
HIP86032_57502.36503_65423618_OFF,0
HIP85365_57502.32461_112006827_OFF,0
HIP85365_57502.30947_112245403_OFF,0
HIP86032_57502.35747_132772856_OFF,3
HIP85365_57502.30947_112792269,0
HIP86032_57502.36503_96247958_OFF,1
HIP85365_57502.30947_112539118_OFF,2
HIP85365_57502.31704_112241202,0
HIP85365_57502.30947_112826673_OFF,0
HIP86032_57502.35747_112337995,0
HIP86032_57502.36503_174787747,3
HIP86032_57502.35747_106216737,1
HIP85365_57502.31704_106361283_OFF,1
HIP85365_57502.30947_106129430,1
HIP85365_57502.30947_105976373_OFF,1
HIP85582_57502.34912_174992383_OFF,1
HIP85365_57502.32461_116321321,0
HIP85365_57502.32461_112345864,0
HIP85582_57502.34912_121441186_OFF,2
HIP86032_57502.35747_123113027_OFF,0
HIP85365_57502.31704_112311355_OFF,0
HIP85365_57502.31704_112070308_OFF,0
HIP85365_57502.30947_106357611,1
HIP85365_57502.30947_112281368,0
HIP86032_57502.36503_122927492_OFF,0
HIP86032_57502.35747_112603347,2
HIP85365_57502.30947_106641892,1
HIP85365_57502.32461_116038581_OFF,0
HIP86032_57502.36503_114384533,2
HIP86032_57502.36503_123076848_OFF,0
HIP86032_57502.36503_174686178,3
HIP85365_57502.31704_90526293_OFF,5
HIP86032_57502.36503_123093641,0
HIP85365_57502.30947_106016928,1
HIP85582_57502.34912_122306743_OFF,0
HIP85365_57502.30947_106390437_OFF,1
HIP85582_57502.34912_174954647_OFF,1
HIP86032_57502.36503_96199289,1
HIP86032_57502.35747_112974810_OFF,2
HIP86032_57502.35747_106063310,1
HIP86032_57502.36503_123027208,0
HIP86032_57502.35747_123062961_OFF,0
HIP85582_57502.34912_113596769,2
HIP86032_57502.36503_96261003_OFF,1
HIP86032_57502.35747_106210733,1
HIP85365_57502.30947_112299189_OFF,0
HIP85582_57502.34912_174983214,1
HIP85365_57502.32461_112347587,0
HIP86032_57502.35747_106205452,1
HIP85365_57502.31704_68778054_OFF,0
HIP85365_57502.30947_106242993,1
HIP86032_57502.36503_174781399,3
HIP86032_57502.36503_174831831,3
HIP85365_57502.32461_112067666,0
HIP86032_57502.36503_174650206_OFF,3
HIP85365_57502.30947_106195371,1
HIP86032_57502.35747_97389013_OFF,1
HIP85365_57502.32461_112020341_OFF,0
HIP85365_57502.31704_106354199_OFF,1
HIP85365_57502.30947_106008819_OFF,1
HIP86032_57502.36503_88547632,6
HIP86032_57502.35747_112967525_OFF,2
HIP85365_57502.32461_112531207,2
HIP85365_57502.30947_106206304,1
HIP85365_57502.30947_106184792_OFF,1
HIP86032_57502.36503_174772583,3
HIP86032_57502.36503_174658317,3
HIP86032_57502.37260_106059097,1
HIP85365_57502.31704_112307748,0
HIP85582_57502.34912_174943009,3
HIP86032_57502.37260_106049927_OFF,1
HIP86032_57502.35747_123136393_OFF,0
HIP85582_57502.34912_112995782_OFF,2
HIP85582_57502.34912_113643501_OFF,2
HIP86032_57502.36503_96149206_OFF,1
HIP86032_57502.36503_123040130_OFF,0
HIP85365_57502.30947_112307534,0
HIP86032_57502.37260_106009803_OFF,1
HIP85582_57502.34912_112326960,0
HIP86032_57502.36503_174675598,3
HIP85582_57502.34912_96232674,1
HIP86032_57502.36503_122984562,0
HIP86032_57502.36503_105967160_OFF,1
HIP86032_57502.36503_105964337_OFF,1
HIP86032_57502.36503_174820546,3
HIP86032_57502.35747_106068258_OFF,1
HIP85365_57502.32461_112530950,2
HIP85582_57502.34912_96248906_OFF,1
HIP85365_57502.31704_112002739_OFF,0
HIP85582_57502.34127_105792842_OFF,1
HIP85365_57502.32461_116323834,0
HIP85365_57502.30947_112307534_OFF,0
HIP86032_57502.36503_96271936,1
HIP85582_57502.34127_112794199,0
HIP86032_57502.36503_174608591_OFF,3
HIP85582_57502.34912_114341143,0
HIP85365_57502.32461_112548667_OFF,2
HIP86032_57502.35747_112845181,0
HIP86032_57502.36503_174671721_OFF,3
HIP85365_57502.30947_106254974_OFF,1
HIP85365_57502.32461_112069658_OFF,0
HIP85582_57502.34912_112967527,2
HIP85365_57502.30947_106169990_OFF,1
HIP85582_57502.34912_96251374,1
HIP86032_57502.37260_106007959_OFF,1
HIP86032_57502.36503_174705222,3
HIP85365_57502.30947_106316690_OFF,1
HIP85365_57502.30947_106261326_OFF,1
HIP86032_57502.36503_174722503,3
HIP86032_57502.36503_96189058_OFF,1
HIP85582_57502.34912_96270772_OFF,1
HIP86032_57502.37260_106010783_OFF,1
HIP86032_57502.35747_106245628,1
HIP85365_57502.30947_105931940,1
HIP86032_57502.36503_96221504,1
HIP85365_57502.31704_112311355,0
HIP85365_57502.32461_116178163_OFF,0
HIP85582_57502.34912_121401970_OFF,0
HIP86032_57502.37260_106062706_OFF,1
HIP85365_57502.30947_105942188,1
HIP86032_57502.36503_105878992,1
HIP86032_57502.36503_174678067,3
HIP86032_57502.36503_113642213_OFF,2
HIP85582_57502.34912_106451777,1
HIP85365_57502.32461_116287707_OFF,0
HIP85365_57502.32461_112261282_OFF,0
HIP85365_57502.31704_112309632,0
HIP85582_57502.34127_112854715_OFF,0
HIP85365_57502.31704_68759550_OFF,0
HIP85365_57502.30947_106270176,1
HIP86032_57502.36503_174729909_OFF,3
HIP85582_57502.34912_175136625,3
HIP86032_57502.37260_106023124,1
HIP85365_57502.30947_106357964_OFF,1
HIP86032_57502.37260_106037231_OFF,1
HIP85365_57502.31704_111995040,0
HIP85582_57502.34912_115779100_OFF,0
HIP85365_57502.30947_112291705,0
HIP85582_57502.34912_96249259,1
HIP86032_57502.36503_174721093,3
HIP86032_57502.35747_112518236_OFF,4
HIP86032_57502.36503_174719329_OFF,1
HIP85365_57502.30947_112286375,0
HIP86032_57502.36503_122920606,0
HIP85365_57502.30947_112535836,2
HIP85582_57502.34912_112300740,0
HIP85365_57502.31704_106708647,1
HIP85365_57502.30947_112940587,2
HIP85582_57502.34912_122363275,0
HIP85582_57502.34127_112828172,0
HIP85365_57502.31704_112278728,0
HIP86032_57502.36503_114372754,2
HIP85365_57502.31704_88513308_OFF,5
HIP86032_57502.36503_175198256_OFF,3
HIP86032_57502.35747_112935952,2
HIP85365_57502.32461_112286856_OFF,0
HIP86032_57502.35747_141033984,5
HIP85365_57502.31704_91941633_OFF,5
HIP86032_57502.35747_112555848,2
HIP86032_57502.36503_113636561_OFF,2
HIP86032_57502.36503_174613881_OFF,3
HIP86032_57502.37260_106080691_OFF,1
HIP86032_57502.36503_174851582,3
HIP85582_57502.34912_122345023,0
HIP85582_57502.34127_112862468_OFF,0
HIP85365_57502.32461_112272427_OFF,0
HIP86032_57502.36503_96192585_OFF,1
HIP85365_57502.30947_112823227,0
HIP86032_57502.36503_174679477_OFF,3
HIP85582_57502.34127_105929047,1
HIP86032_57502.35747_112580781_OFF,2
HIP85365_57502.30947_112544306,2
HIP85582_57502.34912_114381765_OFF,2
HIP85365_57502.30947_106005992,1
HIP85582_57502.34912_114382483_OFF,0
HIP85365_57502.30947_106656677_OFF,1
HIP86032_57502.35747_106220263,1
HIP85365_57502.30947_112797007,0
HIP85582_57502.34127_112783216,0
HIP86032_57502.36503_122944080_OFF,0
HIP85365_57502.32461_112521706,4
HIP85365_57502.30947_106371746_OFF,1
HIP85365_57502.30947_106265578,1
HIP86032_57502.36503_105965396_OFF,1
HIP85365_57502.32461_112539651_OFF,2
HIP85365_57502.32461_116175615_OFF,0
HIP85365_57502.32461_116028140_OFF,0
HIP86032_57502.35747_96233603,1
HIP85365_57502.31704_106330953_OFF,1
HIP85365_57502.30947_106315318_OFF,1
HIP85582_57502.34912_121440375,0
HIP86032_57502.36503_114347512_OFF,2
HIP86032_57502.36503_114330611_OFF,2
HIP85582_57502.34912_113626811,4
HIP85365_57502.32461_116181205_OFF,0
HIP85365_57502.31704_106291807_OFF,1
HIP86032_57502.36503_174814550,3
HIP85365_57502.31704_112280397,0
HIP86032_57502.35747_106072847,1
HIP86032_57502.35747_106089782,1
HIP86032_57502.35747_88403656,6
HIP86032_57502.36503_96214450,1
HIP85582_57502.34912_113550502_OFF,4
HIP85365_57502.30947_112783224,0
HIP86032_57502.36503_123092995,0
HIP85582_57502.34127_112768033,0
HIP85582_57502.34912_114337035,2
HIP86032_57502.36503_114320340,2
HIP85582_57502.34912_121447909_OFF,0
HIP86032_57502.35747_106080606,1
HIP85365_57502.31704_111598903,2
HIP86032_57502.36503_105966822,1
HIP85582_57502.34912_121440053_OFF,5
HIP85582_57502.34912_106477171,1
HIP85365_57502.30947_106269442,1
HIP86032_57502.35747_112431504_OFF,1
HIP85365_57502.30947_107438818,1
HIP85365_57502.30947_112282553_OFF,0
HIP85365_57502.32461_116020392_OFF,0
HIP85365_57502.31704_112006831_OFF,0
HIP85365_57502.30947_112290413,0
HIP85365_57502.31704_112275336_OFF,0
HIP85365_57502.31704_89598881_OFF,6
HIP85365_57502.30947_112932456_OFF,2
HIP85582_57502.34912_114317777,2
HIP86032_57502.36503_88743462,6
HIP86032_57502.35747_106201925_OFF,1
HIP86032_57502.35747_112602323,2
HIP86032_57502.35747_112537884,2
HIP85582_57502.34127_105933205,1
HIP86032_57502.36503_96269820,1
HIP86032_57502.36503_174767293_OFF,3
HIP86032_57502.35747_112323943_OFF,0
HIP85582_57502.34912_112951104_OFF,2
HIP85582_57502.34127_112754627_OFF,0
HIP86032_57502.36503_174679125_OFF,3
HIP86032_57502.35747_106213564_OFF,1
HIP85582_57502.34912_96248906,1
HIP86032_57502.36503_113646835_OFF,2
HIP86032_57502.36503_96211982_OFF,1
HIP85582_57502.34912_114349360_OFF,2
HIP86032_57502.35747_106277397,1
HIP85365_57502.32461_112301608_OFF,0
HIP86032_57502.35747_123096337,0
HIP85365_57502.32461_112333104,0
HIP86032_57502.35747_106255178,1
HIP86032_57502.35747_123085892_OFF,0
HIP86032_57502.35747_112987079,2
HIP85365_57502.31704_112014369_OFF,0
HIP86032_57502.35747_123116903,0
HIP85365_57502.31704_106322495,1
HIP85365_57502.32461_116181875_OFF,0
HIP85582_57502.34912_174925728,3
HIP86032_57502.36503_88727078_OFF,6
HIP86032_57502.36503_96225736_OFF,1
HIP85365_57502.30947_112811544_OFF,0
HIP85365_57502.30947_106140718,1
HIP85582_57502.34912_122297664,2
HIP86032_57502.36503_174570150,3
HIP85365_57502.30947_111989283,0
HIP86032_57502.35747_106235076_OFF,1
HIP85365_57502.30947_106274056,1
HIP85582_57502.34912_113618595,2
HIP85582_57502.34912_114286174,4
HIP86032_57502.35747_105932123_OFF,1
HIP86032_57502.36503_113639132_OFF,2
HIP86032_57502.35747_106082363,1
HIP85582_57502.34912_174968754,1
HIP85365_57502.32461_112301285,0
HIP85582_57502.34127_112789569_OFF,0
HIP86032_57502.36503_114328988_OFF,2
HIP86032_57502.35747_112960089,2
HIP85365_57502.31704_112058356_OFF,0
HIP86032_57502.36503_174740137_OFF,3
HIP86032_57502.36503_123027208_OFF,0
HIP86032_57502.35747_112596447_OFF,2
HIP86032_57502.35747_105975495,1
HIP85365_57502.30947_112538397,2
HIP85365_57502.32461_112568182,2
HIP85582_57502.34912_114742460,0
HIP85365_57502.30947_106340680_OFF,1
HIP85582_57502.34912_113104156,2
HIP85582_57502.34912_121434640,0
HIP85582_57502.34912_114369901_OFF,2
HIP86032_57502.35747_105936011,1
HIP85365_57502.31704_91937239_OFF,5
HIP85365_57502.32461_116037483,0
HIP86032_57502.36503_123090518_OFF,0
HIP86032_57502.36503_96277226,1
HIP85365_57502.32461_116351551_OFF,0
HIP86032_57502.36503_96225031_OFF,1
HIP85365_57502.30947_112315933,0
HIP85365_57502.31704_106322495_OFF,1
HIP86032_57502.35747_112574592,2
HIP85582_57502.34912_174947594_OFF,1
HIP85582_57502.34912_112970556,2
HIP86032_57502.35747_105892985_OFF,1
HIP86032_57502.36503_122967441,0
HIP86032_57502.36503_96195768,1
HIP85365_57502.30947_106136475_OFF,1
HIP86032_57502.36503_90387282,6
HIP86032_57502.36503_96224672,1
HIP86032_57502.35747_105953992_OFF,1
HIP85365_57502.30947_106243340_OFF,1
HIP85582_57502.34912_112309839_OFF,0
HIP85365_57502.30947_106008494,1
HIP86032_57502.36503_96185884,1
HIP85582_57502.34912_174909153_OFF,1
HIP86032_57502.37260_106063332,1
HIP86032_57502.36503_96221151_OFF,1
HIP85365_57502.30947_106357611_OFF,1
HIP86032_57502.35747_123605065_OFF,2
HIP85365_57502.31704_106294628_OFF,1
HIP85582_57502.34912_96272550,1
HIP86032_57502.37260_105960352,1
HIP85582_57502.34912_121924649_OFF,0
HIP85365_57502.30947_106394995_OFF,1
HIP85365_57502.32461_112547127,2
HIP86032_57502.35747_105991382_OFF,1
HIP86032_57502.36503_122973902,0
HIP85365_57502.31704_88187379_OFF,5
HIP86032_57502.36503_174720387,3
HIP85365_57502.31704_88396977_OFF,5
HIP86032_57502.35747_112591539,2
HIP85365_57502.30947_106158703,1
HIP86032_57502.35747_151559633_OFF,4
HIP85582_57502.34912_96264403,1
HIP85365_57502.31704_106301687,1
HIP86032_57502.36503_113642727_OFF,2
HIP85582_57502.34912_112256538_OFF,0
HIP85365_57502.31704_112246801_OFF,0
HIP86032_57502.36503_123044867_OFF,0
HIP86032_57502.35747_112586660,2
HIP85365_57502.32461_112335904_OFF,0
HIP85582_57502.34127_112792853_OFF,0
HIP86032_57502.35747_106029469_OFF,1
HIP86032_57502.35747_106025590,1
HIP85365_57502.30947_105975343_OFF,1
HIP85365_57502.30947_111624686,4
HIP86032_57502.36503_174787397_OFF,3
HIP85582_57502.34912_114351414,2
HIP85582_57502.34127_105906405,1
HIP85365_57502.32461_116357070,5
HIP85365_57502.31704_112068908_OFF,0
HIP85365_57502.31704_112248255_OFF,0
HIP85365_57502.31704_112053187,0
HIP86032_57502.36503_96146738,1
HIP85365_57502.32461_112340588_OFF,0
HIP85582_57502.34912_96253823_OFF,1
HIP85365_57502.30947_105971091_OFF,1
HIP86032_57502.36503_123044109_OFF,0
HIP86032_57502.36503_105959045_OFF,1
HIP86032_57502.36503_96188706,1
HIP86032_57502.36503_96229263_OFF,1
HIP86032_57502.37260_106053324_OFF,1
HIP85365_57502.30947_112844332,0
HIP85582_57502.34912_112988082_OFF,2
HIP86032_57502.36503_122912632,0
HIP86032_57502.35747_112325612,0
HIP85582_57502.34912_112946683_OFF,2
HIP85582_57502.34912_114385821_OFF,2
HIP85582_57502.34912_114385307_OFF,2
HIP85582_57502.34912_174990620_OFF,1
HIP85582_57502.34912_106726160_OFF,1
HIP86032_57502.35747_112579214_OFF,2
HIP86032_57502.35747_106202277_OFF,1
HIP85365_57502.31704_90572628_OFF,5
HIP85582_57502.34127_105854738,1
HIP85582_57502.34912_112269621,0
HIP86032_57502.35747_106002667,1
HIP86032_57502.36503_123042606_OFF,0
HIP86032_57502.36503_96164371,1
HIP85365_57502.32461_112232478_OFF,0
HIP85582_57502.34912_114332926_OFF,2
HIP86032_57502.35747_106243535,1
HIP85582_57502.34127_112758073,0
HIP85582_57502.34127_105925456,1
HIP85365_57502.31704_112302471_OFF,0
HIP85582_57502.34912_175025887_OFF,1
HIP85582_57502.34912_113637293_OFF,2
HIP86032_57502.35747_123099244,0
HIP86032_57502.36503_114286170,4
HIP85582_57502.34912_112956720,2
HIP86032_57502.36503_174723561,3
HIP85365_57502.30947_105945719,1
HIP86032_57502.36503_123098810_OFF,0
HIP86032_57502.35747_97409468_OFF,1
HIP85582_57502.34912_113623730_OFF,2
HIP86032_57502.36503_114320084_OFF,2
HIP86032_57502.36503_96161550_OFF,1
HIP85582_57502.34912_112947766_OFF,2
HIP85582_57502.34912_112268275,0
HIP85365_57502.31704_106348587_OFF,1
HIP85582_57502.34912_114347796_OFF,2
HIP85365_57502.31704_106407130_OFF,1
HIP85365_57502.30947_112283737_OFF,0
HIP86032_57502.35747_106240360_OFF,1
HIP85582_57502.34912_113610421_OFF,2
HIP85365_57502.30947_106148120_OFF,1
HIP85582_57502.34912_112240332_OFF,0
HIP85365_57502.32461_116157250,0
HIP86032_57502.35747_112839851_OFF,0
HIP85582_57502.34912_96259466,1
HIP86032_57502.35747_112532686_OFF,2
HIP86032_57502.36503_174564511,3
HIP86032_57502.36503_114354349,2
HIP85582_57502.34912_175191286_OFF,1
HIP86032_57502.36503_105924487,1
HIP85365_57502.30947_106323402,1
HIP85365_57502.32461_112346887_OFF,0
HIP85365_57502.30947_106307879_OFF,1
HIP85365_57502.30947_112784301,0
HIP85365_57502.32461_112548667,2
HIP85582_57502.34912_175000142_OFF,1
HIP86032_57502.37260_106076456,1
HIP86032_57502.36503_88685194,4
HIP85365_57502.31704_112314047,0
HIP86032_57502.36503_96267351_OFF,1
HIP85365_57502.30947_106284597,1
HIP85365_57502.30947_106315640,1
HIP86032_57502.36503_105963280_OFF,1
HIP86032_57502.36503_175633342_OFF,3
HIP86032_57502.35747_96219496_OFF,1
HIP85582_57502.34912_112251100_OFF,0
HIP86032_57502.36503_122935783_OFF,0
HIP86032_57502.36503_174757065,3
HIP85582_57502.34912_96260887,1
HIP86032_57502.36503_174842411,3
HIP85582_57502.34912_122292206,2
HIP85582_57502.34912_114794361,0
HIP85365_57502.32461_116129437_OFF,0
HIP86032_57502.36503_174695700,3
HIP85365_57502.32461_112308284,0
HIP86032_57502.35747_112965224,2
